Tool Name,Description,Tool Type,Grade Level,Tags,URL,Use Case 1,Use Case 2,Use Case 3
Class Messenger,AI-powered school communication platform,Communication,K-12,"school communication, multi-language, notifications",https://www.classmessenger.com,School communication,Multi-language support,Emergency notifications
ClassDojo,Classroom management platform with AI behavior tracking,Management Tool,Elementary,"behavior, communication, portfolios",https://www.classdojo.com,Behavior management,Parent communication,Student portfolios
CommonLit,Free reading platform with AI-powered features,Reading Platform,K-12,"reading passages, text complexity, instruction",https://www.commonlit.org,Reading passages,Text complexity,Reading instruction
Course Hero,AI-enhanced study resource platform,Study Platform,Higher Ed,"study resources, tutoring, documents",https://www.coursehero.com,Study materials,Tutoring,Document sharing
Criterion,AI-powered writing evaluation service,Writing Assessment,Higher Ed,"writing evaluation, automated scoring, feedback",https://www.ets.org/criterion.html,Writing evaluation,Automated scoring,Feedback provision
Curipod,Interactive lesson platform with AI-powered activities,Interactive Learning,K-12,"engagement, polls, collaboration",https://curipod.com,Interactive lessons,Student engagement,Formative assessment
Desmos,Graphing calculator with AI-powered activities,Math Tool,Middle & High School,"graphing, calculator, exploration",https://www.desmos.com,Graphing,Math exploration,Data analysis
DreamBox,AI-powered adaptive math learning platform,Math Learning,K-8,"adaptive math, personalized, K-8",https://www.dreambox.com,Math instruction,Personalized learning,Progress tracking
Duolingo,AI-powered language learning platform,Language Learning,K-12 & Adults,"languages, vocabulary, adaptive",https://www.duolingo.com,Language learning,Vocabulary building,Grammar practice
Edcafe AI,AI-powered platform for creating teaching materials and interactive content,Content Creation,K-12,"lesson planning, quizzes, interactive content",https://www.edcafe.ai,Lesson plan generation,Quiz creation,Flashcard development
Epic!,Digital library for kids with AI recommendations,Digital Library,Elementary,"digital books, recommendations, elementary",https://www.getepic.com,Digital reading,Book recommendations,Reading practice
EssayBot,AI essay writing assistant and generator,Writing Assistant,High School & Higher Ed,"essay writing, topic generation, assistance",https://www.essaybot.com,Essay writing,Topic generation,Writing assistance
Fast ForWord,AI-powered cognitive training for reading,Cognitive Training,Elementary,"cognitive training, reading skills, processing",https://www.scilearn.com/products/fast-forword,Cognitive training,Reading skills,Language processing
Flipbook,AI-assisted flipbook creation for digital storytelling,Creative Tool,Elementary & Middle,"storytelling, flipbooks, creativity",https://flipbook.com,Digital storytelling,Creative writing,Visual narratives
Flipgrid,Video discussion platform with AI moderation features,Video Platform,K-12,"video, discussions, collaboration",https://flipgrid.com,Video discussions,Student voice,Collaborative learning
Flipgrid for Families,Video platform connecting classrooms and families,Communication,K-12,"family engagement, video responses, connection",https://info.flipgrid.com/en-us/ideas/topic/families,Family engagement,Video responses,Home-school connection
Flipsnack,Digital flipbook creator with AI design features,Publishing Tool,K-12 & Higher Ed,"flipbooks, publishing, interactive",https://www.flipsnack.com,Digital magazines,Interactive brochures,Student publications
FluentU,AI-curated authentic language content,Language Learning,K-12 & Adults,"authentic content, immersion, culture",https://www.fluentu.com,Authentic materials,Language immersion,Cultural content
Gamma AI,AI presentation generator that creates professional slides from text,Presentation Tool,K-12 & Higher Ed,"presentations, slides, interactive",https://gamma.app,Slide creation,Presentation design,Interactive content
Genially,Interactive visual content creator with AI suggestions,Visual Creation,K-12 & Higher Ed,"interactive, visual, presentations",https://genial.ly,Interactive presentations,Infographics,Gamified content
GeoGebra,Interactive mathematics platform with AI features,Math Tool,K-12 & Higher Ed,"geometry, algebra, interactive",https://www.geogebra.org,Geometry,Algebra,Graphing
Gimkit,Live learning game show with AI-generated questions,Gamification,K-12,"games, vocabulary, math",https://www.gimkit.com,Review sessions,Vocabulary practice,Math drills
Google Classroom,Learning management system with AI-powered features,LMS,K-12,"classroom management, Google, assignments",https://classroom.google.com,Assignment distribution,Grade management,Class organization
Gradescope,AI-assisted grading and assessment platform,Grading Tool,Higher Ed & High School,"grading, assessment, feedback",https://www.gradescope.com,Automated grading,Feedback provision,Assignment tracking
Grammarly,AI writing assistant for grammar and style improvement,Writing Tool,K-12 & Higher Ed,"grammar, writing, proofreading",https://www.grammarly.com,Writing improvement,Grammar checking,Style enhancement
Grammarly for Education,AI writing assistant for classroom use,Writing Tool,K-12 & Higher Ed,"writing feedback, grammar, plagiarism detection",https://www.grammarly.com/edu,Writing feedback,Grammar checking,Plagiarism detection
H5P,Interactive content creation platform with AI elements,Content Creation,K-12 & Higher Ed,"interactive content, multimedia, quizzes",https://h5p.org,Interactive videos,Presentations,Quizzes
HelloTalk,AI-powered language exchange platform,Language Exchange,K-12 & Adults,"language exchange, culture, conversation",https://www.hellotalk.com,Language exchange,Cultural exchange,Real conversations
Hemingway Editor,AI writing clarity and readability tool,Writing Tool,High School & Higher Ed,"writing clarity, readability, style editing",https://hemingwayapp.com,Writing clarity,Readability improvement,Style editing
HiMama,Early childhood education app with AI insights,Early Childhood,Early Childhood,"daily reports, milestone tracking, communication",https://www.himama.com,Daily reports,Milestone tracking,Parent communication
italki,AI-powered language learning marketplace,Language Marketplace,K-12 & Adults,"tutoring, conversation, cultural exchange",https://www.italki.com,Language tutoring,Conversation practice,Cultural exchange
IXL Learning,Adaptive learning platform with AI-powered questions,Adaptive Learning,K-12,"adaptive, math, language arts",https://www.ixl.com,Math practice,Language arts,Personalized learning
Kahoot!,Gamified learning platform with AI question generation,Gamification,K-12,"games, assessment, engagement",https://kahoot.com,Game-based learning,Review sessions,Assessment
Kami,AI-enhanced PDF annotation and collaboration tool,Document Tool,K-12,"annotation, PDF, collaboration",https://www.kamiapp.com,Document annotation,Digital worksheets,Collaborative editing
Khan Academy,Personalized learning platform with AI recommendations,Learning Platform,K-12,"math, personalized learning, videos",https://www.khanacademy.org,Math practice,Video lessons,Personalized learning
Khanmigo,AI tutor and teaching assistant by Khan Academy,AI Tutor,K-12,"tutoring, personalized learning, Khan Academy",https://www.khanacademy.org/khan-labs,Personalized tutoring,Progress tracking,Student support
Kuta Software,Math worksheet and problem generator,Math Tool,Middle & High School,"math, worksheets, practice problems",https://www.kutasoftware.com,Math practice,Customized assignments,Test preparation
LanguageTool,AI-powered grammar and style checker,Writing Tool,K-12 & Higher Ed,"grammar checking, style improvement, multilingual",https://languagetool.org,Grammar checking,Style improvement,Multilingual support
Learning Ally,AI-enhanced audiobook platform for students,Audiobook Platform,K-12,"audiobooks, reading support, learning differences",https://learningally.org,Audiobooks,Reading support,Learning differences
Lexia Core5,AI-powered reading instruction program,Reading Intervention,Elementary,"reading skills, phonics, intervention",https://www.lexialearning.com/products/core5,Reading skills,Phonics instruction,Reading intervention
Lingoda,AI-enhanced live language classes,Language Learning,Adults & High School,"live classes, certification, structured",https://www.lingoda.com,Live classes,Structured learning,Language certification
Loom,AI-powered screen recording for educational videos,Video Tool,K-12 & Higher Ed,"screen recording, video, feedback",https://www.loom.com,Instructional videos,Feedback delivery,Flipped classroom
MagicSchool AI,Comprehensive AI toolkit with 50+ tools for educators,Multi-tool Platform,K-12,"comprehensive toolkit, IEP, SEL",https://www.magicschool.ai,IEP writing,Behavior planning,SEL lessons
Mentimeter,Interactive presentation platform with AI insights,Presentation Tool,K-12 & Higher Ed,"polling, interaction, feedback",https://www.mentimeter.com,Live polling,Word clouds,Q&A sessions
Microsoft Math Solver,AI-powered math problem solver,Math Tool,K-12,"Microsoft, problem solving, graphing",https://math.microsoft.com,Problem solving,Graphing,Step-by-step solutions
Microsoft Teams for Education,Collaboration platform with AI meeting features,Collaboration,K-12 & Higher Ed,"Microsoft, meetings, collaboration",https://www.microsoft.com/en-us/education/products/teams,Virtual meetings,File collaboration,Assignment management
MyAccess!,AI writing assessment and instruction platform,Writing Platform,K-12,"writing assessment, automated feedback, instruction",https://www.vantagelearning.com/products/myaccess/,Writing assessment,Automated feedback,Writing instruction
Natural Reader,AI voice generator for educational content,Text-to-Speech,K-12 & Adults,"voice generation, reading assistance, audio",https://www.naturalreaders.com,Text-to-speech,Reading assistance,Audio content
Nearpod,Interactive lesson platform with AI-powered activities,Interactive Learning,K-12,"interactive, VR, engagement",https://nearpod.com,Interactive presentations,Virtual reality lessons,Real-time polling
NoRedInk,AI-powered grammar and writing platform,Writing Platform,K-12,"grammar instruction, writing practice, personalized",https://www.noredink.com,Grammar instruction,Writing practice,Personalized learning
Orton-Gillingham,Multisensory reading approach with AI tracking,Reading Method,Elementary,"dyslexia instruction, phonics, remediation",https://www.ortonacademy.org,Dyslexia instruction,Phonics teaching,Reading remediation
Padlet,Digital collaboration wall with AI content suggestions,Collaboration Tool,K-12,"collaboration, brainstorming, portfolios",https://padlet.com,Collaborative brainstorming,Digital portfolios,Class discussions
PaperRater,AI-powered essay grading and feedback,Grading Tool,High School & Higher Ed,"essay grading, writing feedback, plagiarism",https://www.paperrater.com,Essay grading,Writing feedback,Plagiarism detection
Pear Deck,Interactive presentation add-on with AI features,Presentation Tool,K-12,"interactive, slides, participation",https://www.peardeck.com,Interactive slides,Student participation,Formative assessment
Photomath,AI-powered math problem solver using camera,Math Tool,K-12,"camera math, problem solving, tutoring",https://photomath.com,Homework help,Step-by-step solutions,Math tutoring
Preply,AI-matched language tutoring platform,Tutoring Platform,K-12 & Adults,"personalized tutoring, language lessons, speaking",https://preply.com,Personalized tutoring,Language lessons,Speaking practice
Prodigy Math,Gamified math learning with AI adaptation,Math Game,Elementary & Middle,"math games, adaptive, elementary",https://www.prodigygame.com,Math practice,Game-based learning,Progress monitoring
ProWritingAid,AI-powered writing and editing tool,Writing Tool,High School & Higher Ed,"writing improvement, style analysis, grammar",https://prowritingaid.com,Writing improvement,Style analysis,Grammar checking
Quill,AI-powered writing and grammar platform,Writing Platform,K-12,"writing instruction, grammar practice, sentences",https://www.quill.org,Writing instruction,Grammar practice,Sentence construction
Quizizz,AI-powered quiz platform with automated question generation,Assessment Tool,K-12,"quizzes, assessment, gamification",https://quizizz.com,Quiz creation,Assessment,Student engagement
Quizlet,Flashcard platform with AI-powered study modes,Study Tool,K-12 & Higher Ed,"flashcards, vocabulary, study",https://quizlet.com,Vocabulary learning,Test preparation,Memory practice
Raz-Kids,AI-powered leveled reading platform,Reading Platform,Elementary,"leveled reading, comprehension, tracking",https://www.raz-kids.com,Leveled reading,Reading comprehension,Progress tracking
Read&Write,AI-powered literacy support tool,Literacy Tool,K-12,"reading support, writing assistance, accessibility",https://www.texthelp.com/en-us/products/read-write/,Reading support,Writing assistance,Dyslexia support
Reading A-Z,Comprehensive reading resource with AI leveling,Reading Resource,Elementary,"guided reading, assessment, leveled books",https://www.readinga-z.com,Guided reading,Reading assessment,Leveled books
Remind,Communication platform with AI scheduling features,Communication,K-12,"communication, messaging, scheduling",https://www.remind.com,Parent communication,Class announcements,Schedule management
Rosetta Stone,Immersive language learning with AI feedback,Language Learning,K-12 & Adults,"immersion, pronunciation, speech",https://www.rosettastone.com,Language immersion,Pronunciation,Speech recognition
Screencastify,Chrome extension for AI-enhanced screen recording,Recording Tool,K-12 & Higher Ed,"screen capture, Chrome, tutorials",https://www.screencastify.com,Lesson recording,Student tutorials,Assignment feedback
Scribens,Free AI grammar and spell checker,Writing Tool,K-12 & Higher Ed,"grammar checking, spell checking, correction",https://www.scribens.com,Grammar checking,Spell checking,Writing correction
Seesaw,Digital portfolio platform with AI content organization,Portfolio Platform,Elementary,"portfolios, communication, elementary",https://web.seesaw.me,Student portfolios,Parent communication,Assignment sharing
Seesaw for Families,Portfolio platform with family communication,Family Communication,Elementary,"family communication, work sharing, progress updates",https://app.seesaw.me,Family communication,Student work sharing,Progress updates
Socrative,Real-time assessment platform with AI analytics,Assessment Tool,K-12,"assessment, analytics, real-time",https://socrative.com,Formative assessment,Exit tickets,Quiz creation
Speechify,AI text-to-speech for reading assistance,Accessibility Tool,K-12 & Adults,"text-to-speech, reading support, accessibility",https://speechify.com,Reading support,Accessibility,Audio learning
ST Math,Visual math program with AI-powered feedback,Math Tool,K-12,"visual math, spatial reasoning, concepts",https://www.stmath.com,Spatial reasoning,Math concepts,Visual learning
StoryMapJS,Interactive storytelling tool with location features,Storytelling,Middle & High School,"maps, storytelling, geography",https://storymap.knightlab.com,Geography lessons,Historical narratives,Research projects
StudyBlue,AI-powered study platform with personalized content,Study Platform,Higher Ed & High School,"study guides, personalization, tests",https://www.studyblue.com,Study guides,Flashcards,Practice tests
Symbolab,AI math solver with detailed solutions,Math Solver,High School & Higher Ed,"equations, step-by-step, practice",https://www.symbolab.com,Equation solving,Step-by-step work,Math practice
Tadpoles,Childcare communication app with AI photo tagging,Childcare App,Early Childhood,"photo sharing, daily reports, communication",https://www.tadpoles.com,Photo sharing,Daily reports,Parent communication
TalkingPoints,AI-powered family engagement platform,Family Engagement,K-12,"family engagement, translation, communication support",https://talkingpts.org,Family engagement,Translation services,Communication support
TeacherTool.AI,AI teaching assistant for assignments and grading,Teaching Assistant,K-12,"assignments, grading, rubrics",https://teachertool.ai,Assignment creation,Rubric building,Grading assistance
TeachShare,AI marketplace for educators to share and create teaching resources,Resource Platform,K-12,"marketplace, collaboration, lesson plans",https://www.teachshare.com,Resource sharing,Lesson planning,Collaboration
Thinglink,Interactive media platform with AI hotspot detection,Interactive Media,K-12,"interactive, multimedia, hotspots",https://www.thinglink.com,Interactive images,Virtual tours,Multimedia presentations
Turnitin,AI plagiarism detection and writing feedback tool,Writing Tool,K-12 & Higher Ed,"plagiarism, writing, feedback",https://www.turnitin.com,Plagiarism detection,Writing feedback,Academic integrity
Turnitin Feedback Studio,AI-enhanced grading and feedback platform,Grading Platform,Higher Ed,"grading assistance, feedback provision, improvement",https://www.turnitin.com/products/feedback-studio,Grading assistance,Feedback provision,Writing improvement
Voice Dream Reader,AI-powered reading app with voice synthesis,Reading Tool,K-12 & Adults,"reading support, voice synthesis, documents",https://www.voicedream.com,Reading support,Text-to-speech,Document reading
VoiceThread,AI-enhanced collaborative multimedia platform,Collaboration Tool,K-12 & Higher Ed,"multimedia discussions, collaborative projects, storytelling",https://voicethread.com,Multimedia discussions,Collaborative projects,Digital storytelling
Wakelet,Content curation platform with AI organization,Curation Tool,K-12 & Higher Ed,"curation, organization, portfolios",https://wakelet.com,Resource curation,Digital portfolios,Research organization
Wilson Reading System,Structured literacy program with digital tools,Reading Program,Elementary & Middle,"dyslexia support, structured literacy, intervention",https://www.wilsonlanguage.com,Dyslexia support,Structured literacy,Reading intervention
Wolfram Alpha,Computational engine for mathematical queries,Computation Tool,High School & Higher Ed,"computation, problem solving, math",https://www.wolframalpha.com,Problem solving,Step-by-step solutions,Mathematical computation
WorksheetsAI,AI generator for custom differentiated worksheets,Worksheet Generator,K-12,"worksheets, differentiation, practice",https://www.worksheets.ai,Worksheet creation,Differentiated instruction,Practice materials
Write & Improve,AI-powered writing practice tool by Cambridge,Writing Practice,K-12 & Adults,"writing practice, instant feedback, English learning",https://writeandimprove.com,Writing practice,Instant feedback,English learning
Writefull,AI-powered academic writing assistant,Academic Writing,Higher Ed,"academic writing, language feedback, research",https://writefull.com,Academic writing,Language feedback,Research writing
Zoom for Education,Video conferencing with AI transcription and features,Video Conferencing,K-12 & Higher Ed,"video calls, recording, virtual learning",https://zoom.us/education,Virtual classes,Recording lectures,Breakout rooms
